ROUND,BETTER_SEED,WORSE_SEED,BARTTORVIK ADJUSTED EFFICIENCY,BARTTORVIK ADJUSTED TEMPO,FREE THROW %,OFFENSIVE REBOUND %,3PT RATE DEFENSE,KENPOM ADJUSTED DEFENSE,EFG % DEFENSE,TURNOVER % DEFENSE,3PT % DEFENSE,EFG %,ASSIST %,FREE THROW RATE,TURNOVER %,WIN %,FREE THROW % DEFENSE,BLOCKED %,3PT RATE,FREE THROW RATE DEFENSE,DEFENSIVE REBOUND %,ELITE SOS,OP ASSIST %,BLOCK %,UPSET
3,2,3,2.6999999999999997,3.0999999999999943,5.5,-4.5,-4.5,0.0,-0.7000000000000028,-3.299999999999997,1.1000000000000014,3.1000000000000014,-10.799999999999995,-3.899999999999999,0.8000000000000007,1.6599999999999966,2.0999999999999943,-0.1000000000000014,3.700000000000003,-5.099999999999998,0.2000000000000028,8.399999999999995,-14.400000000000006,1.6999999999999993,0
2,1,9,12.900000000000002,0.4000000000000057,2.4000000000000057,-0.6000000000000014,1.7999999999999972,-0.6999999999999886,-1.7999999999999972,0.5,-1.1999999999999993,5.299999999999997,-1.8000000000000045,5.200000000000003,-2.6999999999999997,17.28,-3.299999999999997,0.0999999999999996,-4.100000000000001,-7.899999999999999,-4.900000000000006,0.2199999999999988,-5.399999999999999,-5.5,1
2,1,8,17.4,-0.4000000000000057,1.5,2.5,2.0999999999999943,-3.5999999999999943,2.6000000000000014,2.400000000000002,2.599999999999998,2.3999999999999986,1.6999999999999955,-1.5,-1.0,12.870000000000005,4.599999999999994,-0.4000000000000003,1.2000000000000028,-11.1,3.1000000000000085,17.04,0.0,0.4000000000000003,0
1,1,16,28.0,2.1000000000000085,-8.100000000000009,-4.599999999999994,-5.5,-18.5,-4.399999999999999,5.900000000000002,-5.300000000000004,3.699999999999996,9.9,-10.9,-2.3000000000000007,31.71999999999999,-0.5999999999999943,-1.299999999999999,9.0,-8.700000000000003,-2.0999999999999943,18.57,-3.699999999999996,4.199999999999999,0
1,7,10,7.299999999999999,-0.4000000000000057,9.599999999999994,-2.6999999999999997,3.199999999999996,-3.799999999999997,-2.700000000000003,-0.3000000000000007,-2.1999999999999997,2.6000000000000014,-6.800000000000004,-6.899999999999999,0.1999999999999993,-1.1499999999999986,9.599999999999994,-0.5999999999999996,14.900000000000002,3.3000000000000007,2.299999999999997,0.6599999999999966,-1.8000000000000045,-2.500000000000001,1
1,2,15,20.5,4.799999999999997,5.0,4.900000000000002,-8.600000000000001,-14.0,-3.899999999999999,3.599999999999998,-1.3000000000000007,-3.9000000000000057,-1.8999999999999984,-0.6000000000000014,-3.3000000000000007,18.86,-4.5,1.799999999999999,-2.8000000000000043,13.699999999999996,-3.0999999999999943,16.91,-4.300000000000004,11.7,0
1,6,11,6.309000000000001,1.4499999999999886,1.1999999999999886,2.799999999999997,-4.100000000000001,-0.917199999999994,1.3999999999999986,1.2999999999999972,-3.200000000000003,2.700000000000003,1.7000000000000028,3.099999999999998,0.2000000000000028,-1.069518709999997,0.8999999999999915,1.9000000000000004,-10.1,-3.6999999999999993,1.0999999999999943,5.102,2.0,-0.6999999999999993,0
1,8,9,-0.7999999999999989,1.6999999999999886,8.799999999999997,-5.099999999999994,-0.3000000000000042,0.0999999999999943,-2.3000000000000043,0.1000000000000014,-0.5,-1.2999999999999972,-14.0,-0.3999999999999986,-4.100000000000001,4.170000000000002,6.099999999999994,2.4000000000000004,3.6000000000000014,1.1000000000000014,-3.0,-6.729999999999997,-6.0,2.6999999999999997,1
6,1,1,2.6000000000000014,-7.400000000000006,7.200000000000003,-5.5,-1.0,-1.6000000000000083,-0.6999999999999957,-2.0,4.0,-2.299999999999997,-4.0,-4.600000000000001,-4.4,3.300000000000012,-1.5,-2.5,2.5,-3.799999999999997,6.399999999999992,-3.59,-6.899999999999999,0.2999999999999989,1
1,5,12,5.4,-2.299999999999997,11.400000000000006,-6.800000000000004,-0.2000000000000028,-1.4000000000000057,2.1000000000000014,-1.6000000000000014,4.699999999999999,0.9000000000000057,3.4000000000000057,5.0,0.5,-11.450000000000005,-1.7999999999999972,4.6,4.200000000000003,-6.600000000000001,-3.9000000000000057,16.91,6.799999999999997,4.800000000000001,0
